50, 0
SunFlower, Peashooter, Wallnut
162
30, 3, NormalZombie
60, 1, NormalZombie
75, 3, NormalZombie
85, 3, NormalZombie
95, 4, NormalZombie
120, 0, NormalZombie
120, 0, NormalZombie
145, 3, NormalZombie
145, 3, NormalZombie
155, 0, NormalZombie
170, 0, NormalZombie
170, 2, NormalZombie
180, 0, FlagZombie
182, 1, NormalZombie
182, 4, NormalZombie
182, 3, NormalZombie
182, 0, NormalZombie
182, 1, NormalZombie
185, 0, NormalZombie
185, 0, NormalZombie
185, 3, NormalZombie
185, 1, NormalZombie
185, 3, NormalZombie
190, 3, NormalZombie
190, 3, NormalZombie
190, 2, NormalZombie
193, 1, NormalZombie
193, 4, NormalZombie
193, 2, NormalZombie
193, 4, NormalZombie
195, 1, NormalZombie
195, 1, NormalZombie
195, 1, NormalZombie
195, 2, NormalZombie
200, 2, NormalZombie
200, 1, NormalZombie
200, 2, NormalZombie
200, 0, NormalZombie
200, 1, NormalZombie
200, 1, NormalZombie
200, 1, NormalZombie
202, 2, NormalZombie
202, 3, NormalZombie
202, 4, NormalZombie
202, 3, NormalZombie
202, 4, NormalZombie
202, 0, NormalZombie
205, 1, NormalZombie
207, 4, NormalZombie
207, 1, NormalZombie
207, 4, NormalZombie
207, 4, NormalZombie
207, 4, NormalZombie
207, 2, NormalZombie
207, 4, NormalZombie
207, 2, NormalZombie
207, 0, NormalZombie
209, 0, NormalZombie
209, 4, NormalZombie
209, 4, NormalZombie
209, 4, NormalZombie
210, 0, FlagZombie
210, 4, NormalZombie
210, 4, NormalZombie
210, 0, NormalZombie
210, 1, NormalZombie
210, 3, NormalZombie
210, 0, NormalZombie
212, 0, NormalZombie
212, 4, NormalZombie
212, 2, NormalZombie
212, 4, NormalZombie
212, 1, NormalZombie
212, 3, NormalZombie
212, 4, NormalZombie
212, 0, NormalZombie
215, 3, NormalZombie
215, 1, NormalZombie
215, 2, NormalZombie
215, 2, NormalZombie
216, 1, NormalZombie
216, 1, NormalZombie
216, 1, NormalZombie
217, 3, NormalZombie
217, 3, NormalZombie
217, 4, NormalZombie
219, 0, NormalZombie
219, 0, NormalZombie
219, 0, NormalZombie
219, 0, NormalZombie
220, 1, NormalZombie
220, 0, NormalZombie
220, 1, NormalZombie
220, 4, NormalZombie
220, 1, NormalZombie
220, 0, NormalZombie
220, 1, NormalZombie
220, 3, NormalZombie
220, 3, NormalZombie
220, 0, NormalZombie
220, 2, NormalZombie
220, 3, NormalZombie
220, 3, NormalZombie
220, 2, NormalZombie
220, 3, NormalZombie
220, 3, NormalZombie
220, 0, NormalZombie
220, 0, NormalZombie
225, 4, FlagZombie
230, 0, NormalZombie
230, 2, NormalZombie
230, 0, NormalZombie
230, 3, NormalZombie
230, 0, NormalZombie
230, 1, NormalZombie
230, 2, NormalZombie
230, 0, NormalZombie
232, 3, NormalZombie
232, 0, NormalZombie
232, 2, NormalZombie
232, 2, NormalZombie
232, 0, NormalZombie
232, 0, NormalZombie
232, 3, NormalZombie
232, 0, NormalZombie
235, 3, NormalZombie
235, 4, NormalZombie
235, 2, NormalZombie
235, 1, NormalZombie
235, 1, NormalZombie
235, 1, NormalZombie
235, 4, NormalZombie
235, 4, NormalZombie
235, 3, NormalZombie
235, 3, NormalZombie
235, 1, NormalZombie
235, 4, NormalZombie
235, 0, NormalZombie
240, 1, NormalZombie
240, 3, NormalZombie
240, 4, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 4, NormalZombie
240, 1, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 3, NormalZombie
240, 3, NormalZombie
240, 2, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
240, 0, NormalZombie
240, 1, NormalZombie
240, 4, NormalZombie
240, 3, NormalZombie
240, 4, NormalZombie
240, 0, NormalZombie
0, 1, 2, 3, 4
